Name,Year Joined,Year permenently excused,Position,Nationality,Alive,Founding Member,Gender
Noël Arnaud,1960,2003,President (1984-2003),French,No,Yes,Male
Jacques Bens,1960,2001,Member,French,No,Yes,Male
Latis,1960,1973,Member,French,No,Yes,Male
François Le Lionnais,1960,1984,Presidential founder,French,No,Yes,Male
Jean Lescure,1960,2005,Member,French,No,Yes,Male
Raymond Queneau,1960,1976,Co-Founder,French,No,Yes,Male
Jean Queval,1960,1990,Member,French,No,Yes,Male
Albert-Marie Schmidt,1960,1966,Member,French,No,Yes,Male
Claude Berge,1960,2002,Member,French,No,Yes,Male
Jacques Duchateau,1960,2017,Member,French,No,Yes,Male
André Blavier,1961,2001,Foreign correspondant,Belgian,No,No,Male
Paul Braffort,1961,,Member,French,Yes,No,Male
Ross Chambers,1961,2017,Member,Australia,No,No,Male
Stanley Chapman,1961,2009,Member,British,No,No,Male
Marcel Duchamp,1962,1968,Member,French-American,No,No,Male
Jacques Roubaud,1966,,Member,French,Yes,No,Male
Georges Perec,1967,1982,Member,French,No,No,Male
Marcel Bénabou,1970,,Secretary (1971-),French,Yes,No,Male
Luc Etienne,1970,1984,Member,French,No,No,Male
Paul Fournel,1972,,President (2003-),French,Yes,No,Male
Harry Mathews,1973,2017,Member,American,No,No,Male
Italo Calvino,1974,1985,Member,Italian,No,No,Male
Michèle Métail,1975,,Member,French,Yes,No,Female
François Caradec,1983,2008,Member,French,Yes,No,Male
Jacques Jouet,1983,,Member,French,Yes,No,Male
Hervé Le Tellier,1992,,Member,French,Yes,No,Male
Oskar Pastior,1992,2006,Member,German,No,No,Male
Pierre Rosenstiehl,1992,,Member,French,Yes,No,Male
Michelle Grangaud,1995,,Member,Algerian,Yes,No,Female
Bernard Cerquiglini,1995,,Member,French,Yes,No,Male
Ian Monk,1998,,Member,British,Yes,No,Male
Anne F. Garréta,2000,,Member,French,Yes,No,Female
Olivier Salon,2000,,Member,French,Yes,No,Male
Valérie Beaudouin,2003,,Member,French,Yes,No,Female
Frédéric Forte,2005,,Member,French,Yes,No,Male
Michèle Audin,2009,,Member,French,Yes,No,Female
Daniel Levin Becker,2009,,Member,American,Yes,No,Male
Étienne Lécroart,2012,,Member,French,Yes,No,Male
Eduardo Berti,2014,,Member,Argentinian,Yes,No,Male
Pablo Martín Sánchez,2014,,Member,Spanish,Yes,No,Male
Clémentine Mélois,2017,,Member,French,Yes,No,Female
