Year,Activity from men,Activity from women,Activity from Collaborations
1975,,1,
1982,,1,
1986,,3,
1990,,2,
1995,,3,
1998,,2,
1999,,1,
2000,,1,
2001,,1,
2003,,1,
2007,,1,
2009,,1,
2009,,1,
2010,,1,
2011,,2,
2012,,1,
2013,,1,
2014,,1,
2015,,2,
2017,,1,
1978,,,1
1981,,,1
1992,,,2
1993,,,1
1994,,,1
1995,,,1
1996,,,1
1997,,,3
1998,,,1
1999,,,1
2002,,,2
2003,,,2
2005,,,2
2006,,,5
2007,,,3
2009,,,1
2012,,,1
2014,,,1
2015,,,2
2016,,,1
2019,,,2
1947,1,,
1960,10,,
1961,5,,
1962,1,,
1965,1,,
1966,1,,
1967,2,,
1968,1,,
1969,1,,
1970,2,,
1972,1,,
1973,1,,
1974,3,,
1976,1,,
1978,8,,
1979,1,,
1980,2,,
1981,2,,
1982,3,,
1983,3,,
1984,4,,
1985,4,,
1986,2,,
1987,1,,
1990,13,,
1992,7,,
1993,6,,
1994,3,,
1995,4,,
1996,7,,
1997,10,,
1998,4,,
1999,10,,
2000,1,,
2001,5,,
2002,1,,
2003,3,,
2004,4,,
2005,6,,
2006,7,,
2007,6,,
2008,8,,
2009,5,,
2010,7,,
2011,3,,
2012,6,,
2013,6,,
2014,6,,
2015,7,,
2016,2,,
2017,2,,
2018,3,,
2019,4,,
